AUC3_BOM_V1.3_170331,,,,,,,,,,
,,,,,,,,,,
Notes:,,,,,,,,,,
1) 电阻默认5%精度,,,,,,,,,,
"2) 小于100nF的电容默认是25V/50V, COG/X7R类型
  大于100nF的电容默认是6.3V,  X7R/X5R类型",,,,,,,,,,
3)元器件总数27种,,,,,,,,,,
,,, ,,,,,,,
序号,类型,位号,描述,值,厂家编号,厂家,封装,数量,备注,
,,,,,,,,,,
1,PCB裸板,,,AUC3_V1.1_1600927,,,,1,,
2,,C1,Capacitor (Semiconductor SIM Model),4.7nF/1000V,,,1206,1,,
3,,"C2, C9,C11",Capacitor (Semiconductor SIM Model),4.7uF/6.3V,,,603,3,,
4,,"C3, C4, C5, C8",Capacitor (Semiconductor SIM Model),100nF/16V,,,402,4,,
5,,"C6, C7",Capacitor (Semiconductor SIM Model),10pF/50V,,,402,2,,
6,,"D1, D3",Silicon Switching Diode Array for High-Speed Switching,BAV99,,,SOT-23_L,2,,
7,,D2,SMAJ5.0A,D Zener/5V,,,DO-214AC,1,,
8,,"F1, F4",自恢复保险丝,200mA,MF-NSF020-2,,1206,2,,
9,,"F2, F3",自恢复保险丝,100mA,MF-PSMF010X-2,BOURNS,RESC2012l,2,,
,,,,,SMD0805B010TF,君耀（国产）,,,,
10,,IIC1,A2547-WR-5P,Header 5H,A2547-WR-5P,CJTCONN,HDR1X5,1,,
11,,LED1,共阳极三色LED,,,,LED3528RGB,1,,
12,,PWR,"LED3,绿色LED",LTST-C193KGKT,LTST-C193KGKT,,CD1608-0603,1,,
13,,Q1,PNP Switching Transistor,MMBT3906,MMBT3906,NXP,SOT23_N,1,,
14,,R1,Resistor,1M,,,1206,1,,
15,,RNTC,NTC,10K/B=3500,,,603,1,,
16,,"R3, R4",Resistor,10K/1%,,,402,2,,
17,,R5,Resistor,1.5K,,,402,1,,
18,,"R6, R7",Resistor,33R,,,402,2,,
19,,"R8, R9, R11, R12, R13, R14",Resistor,200R,,,402,6,,
20,,R10,Resistor,100K,,,402,1,,
21,,"R15,R2",Resistor,28.7K,,,402,2,,
22,,"R16,R17",Resistor,9.1K(1%),,,402,2,,
23,,U1,32-bit ARM Cortex-M0 microcontroller,LPC11U14,LPC11U14FHN33/201,,HVQFN33,1,,
24,,U2,Ultra low capacitance double rail-to-rail ESD protection diode,PRTR5V0U2X,,,SOT143B_L,1,,
25,,"U3,U4",LDO,RT9187CGB,RT9187CGB,,SOT23-5AL,2,,
26,,USB1,"USB On-The-Go (OTG) Mini-B Receptacle, Right Angle, SMT, 0.80mm (.031"") Pitch, Solder Tabs with Back Cover, Recessed Type",,CU09S2M15A0,翰荃,USB_Micro_B,1,,
27,,XTAL,12M无源晶振,Crystal,,,XO2520,1,,